trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.25, 'e': 0.03999999999999938}",30,12,33.04708527308546,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.25, 'e': 0.019999999999999383}",30,21,17.642502467287475,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.25, 'e': -6.175615574477433e-16}",25,10,29.472149951380377,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,20,24.58782333286667,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,17,14.375764360611788,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,16.711357594071607,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,11,25.915790428969427,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,14,21.03654379650058,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,17,23.995678844331984,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,13,38.90408117666794,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,23.493225857427802,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,21.41118070558693,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,24.89114286252811,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
